Hawker Centre,Stall No,Approx. Stall Area (sqm),Trade,Tendered Bid (per month),Month of Tender
BLK 120 BUKIT MERAH LANE 1,01-31,8.19,DRINKS,4288,Jul-2021
BLK 120 BUKIT MERAH LANE 1,01-60,8.19,HALAL COOKED FOOD,850,Jul-2021
BLK 120 BUKIT MERAH LANE 1,01-66,8.19,HALAL COOKED FOOD,1610,Oct-2021
BLK 120 BUKIT MERAH LANE 1,01-71,8.19,INDIAN CUISINE,659,Oct-2021
BLK 120 BUKIT MERAH LANE 1,01-60,8.19,HALAL COOKED FOOD,306,Dec-2018
BLK 127 TOA PAYOH LORONG 1,02-19,9,INDIAN CUISINE,628,Oct-2018
BLK 127 TOA PAYOH LORONG 1,02-19,9,INDIAN CUISINE,1000,Jul-2023
BLK 127 TOA PAYOH LORONG 1,02-25,9,INDIAN CUISINE,2899.99,Aug-2022
BLK 127 TOA PAYOH LORONG 1,02-25,9,COOKED FOOD,3344,Aug-2024
BLK 137 TAMPINES STREET 11,01-31,9.02,HALAL COOKED FOOD,3313,Feb-2021
BLK 14 HAIG ROAD,01-17,7.08,INDIAN CUISINE,6009,Jun-2021
BLK 14 HAIG ROAD,01-17,7.08,HALAL COOKED FOOD,4502,Sep-2024
BLK 159 MEI CHIN ROAD,02-36,8.99,COOKED FOOD,2388,Aug-2021
BLK 159 MEI CHIN ROAD,02-36,8.99,COOKED FOOD,1500,Mar-2023
BLK 159 MEI CHIN ROAD,02-44,8.99,HALAL COOKED FOOD,1200,Apr-2018
BLK 159 MEI CHIN ROAD,02-44,8.99,INDIAN CUISINE,49,Jul-2018
BLK 159 MEI CHIN ROAD,02-44,8.99,HALAL COOKED FOOD,300,Mar-2023
BLK 159 MEI CHIN ROAD,02-45,8.99,INDIAN CUISINE,79,Apr-2018
BLK 159 MEI CHIN ROAD,02-45,8.99,HALAL COOKED FOOD,50,Nov-2018
BLK 159 MEI CHIN ROAD,02-45,8.99,HALAL COOKED FOOD,30,Jun-2019
BLK 159 MEI CHIN ROAD,02-45,8.99,HALAL COOKED FOOD,1000,Jun-2022
BLK 159 MEI CHIN ROAD,02-46,8.99,HALAL COOKED FOOD,250,Oct-2024
BLK 159 MEI CHIN ROAD,02-47,8.99,HALAL COOKED FOOD,299,Aug-2019
BLK 159 MEI CHIN ROAD,02-47,8.99,HALAL COOKED FOOD,500,Jan-2021
BLK 159 MEI CHIN ROAD,02-47,8.99,INDIAN CUISINE,88,Aug-2022
BLK 159 MEI CHIN ROAD,02-14,8.99,COOKED FOOD,1280,Jun-2019
BLK 159 MEI CHIN ROAD,02-17,8.99,COOKED FOOD,1300,Oct-2022
BLK 159 MEI CHIN ROAD,02-17,8.99,INDIAN CUISINE,500,Jul-2024
BLK 159 MEI CHIN ROAD,02-19,8.99,COOKED FOOD,2001,Oct-2024
BLK 159 MEI CHIN ROAD,02-02,8.99,COOKED FOOD,600,Feb-2019
BLK 159 MEI CHIN ROAD,02-02,8.99,COOKED FOOD,1700,May-2021
BLK 159 MEI CHIN ROAD,02-04,8.99,COOKED FOOD,1808,Feb-2020
BLK 159 MEI CHIN ROAD,02-06,8.99,INDIAN CUISINE,300,Sep-2020
BLK 159 MEI CHIN ROAD,02-06,8.99,INDIAN CUISINE,254,Dec-2021
BLK 159 MEI CHIN ROAD,02-06,8.99,COOKED FOOD,1350,Nov-2022
BLK 159 MEI CHIN ROAD,02-10,8.99,COOKED FOOD,2000,Jun-2023
BLK 159 MEI CHIN ROAD,02-27,8.99,HALAL COOKED FOOD,700,Nov-2022
BLK 159 MEI CHIN ROAD,02-29,8.99,COOKED FOOD,1609,Mar-2020
BLK 159 MEI CHIN ROAD,02-44,8.99,INDIAN CUISINE,550,Apr-2021
BLK 159 MEI CHIN ROAD,02-45,8.99,HALAL COOKED FOOD,108,Nov-2023
BLK 159 MEI CHIN ROAD,02-02,8.99,COOKED FOOD,1688,Jan-2023
BLK 159 MEI CHIN ROAD,02-06,8.99,INDIAN CUISINE,100,Jun-2021
BLK 159 MEI CHIN ROAD,02-27,8.99,INDIAN CUISINE,455,Mar-2020
BLK 159 MEI CHIN ROAD,02-27,8.99,COOKED FOOD,2088,Jun-2021
BLK 16 BEDOK SOUTH ROAD,01-13,9.29,COOKED FOOD,4889,Apr-2024
BLK 16 BEDOK SOUTH ROAD,01-14,9.29,INDIAN CUISINE,1620,Aug-2018
BLK 16 BEDOK SOUTH ROAD,01-14,9.29,COOKED FOOD,4180,Feb-2023
BLK 16 BEDOK SOUTH ROAD,01-04,9.29,COOKED FOOD,2600,Feb-2020
BLK 16 BEDOK SOUTH ROAD,01-04,9.29,COOKED FOOD,5310,Oct-2023
BLK 16 BEDOK SOUTH ROAD,01-07,9.29,HALAL COOKED FOOD,1320,Jun-2018
BLK 16 BEDOK SOUTH ROAD,01-07,9.29,HALAL COOKED FOOD,1727,Sep-2018
BLK 16 BEDOK SOUTH ROAD,01-07,9.29,INDIAN CUISINE,1555,Nov-2020
BLK 16 BEDOK SOUTH ROAD,01-07,9.29,HALAL COOKED FOOD,3619.99,Mar-2022
BLK 16 BEDOK SOUTH ROAD,01-07,9.29,HALAL COOKED FOOD,2707,Feb-2023
BLK 16 BEDOK SOUTH ROAD,01-08,9.29,HALAL COOKED FOOD,1508,Feb-2018
BLK 16 BEDOK SOUTH ROAD,01-10,9.29,HALAL COOKED FOOD,3500,Oct-2024
BLK 16 BEDOK SOUTH ROAD,01-07,9.29,HALAL COOKED FOOD,3027.07,Sep-2022
BLK 16 BEDOK SOUTH ROAD,01-10,9.29,HALAL COOKED FOOD,3808,Mar-2021
BLK 162 ANG MO KIO AVENUE 4,01-01,6.63,HALAL COOKED FOOD,1150,Feb-2018
BLK 162 ANG MO KIO AVENUE 4,01-08,6.63,INDIAN CUISINE,2064,Aug-2018
BLK 162 ANG MO KIO AVENUE 4,01-08,6.63,INDIAN CUISINE,200,Apr-2019
BLK 162 ANG MO KIO AVENUE 4,01-08,6.63,INDIAN CUISINE,804,Jul-2023
BLK 162 ANG MO KIO AVENUE 4,01-09,6.63,INDIAN CUISINE,638,Sep-2020
BLK 163 BUKIT MERAH CENTRAL,02-32,6.2,COOKED FOOD,2000,Mar-2024
BLK 163 BUKIT MERAH CENTRAL,02-45,6.15,COOKED FOOD,2106,Jul-2024
BLK 163 BUKIT MERAH CENTRAL,02-47,6.2,COOKED FOOD,2000,Jun-2018
BLK 163 BUKIT MERAH CENTRAL,02-47,6.2,COOKED FOOD,1300,Dec-2019
BLK 163 BUKIT MERAH CENTRAL,02-47,6.2,CUT FRUITS,2288,Jan-2021
BLK 163 BUKIT MERAH CENTRAL,02-47,6.2,INDIAN CUISINE,238,Jun-2024
BLK 163 BUKIT MERAH CENTRAL,02-48,6.15,DRINKS,3329,Mar-2018
BLK 163 BUKIT MERAH CENTRAL,02-48,6.15,COOKED FOOD,2000,Aug-2020
BLK 163 BUKIT MERAH CENTRAL,02-48,6.15,COOKED FOOD,1088,Aug-2022
BLK 163 BUKIT MERAH CENTRAL,02-51,6.15,COOKED FOOD,1838,Sep-2022
BLK 163 BUKIT MERAH CENTRAL,02-14,6.2,COOKED FOOD,800,Mar-2020
BLK 163 BUKIT MERAH CENTRAL,02-14,6.2,COOKED FOOD,2888,Mar-2021
BLK 163 BUKIT MERAH CENTRAL,02-14,6.2,INDIAN CUISINE,232.97,Apr-2022
BLK 163 BUKIT MERAH CENTRAL,02-14,6.2,COOKED FOOD,1018,Apr-2023
BLK 163 BUKIT MERAH CENTRAL,02-17,6.2,COOKED FOOD,2017,Oct-2020
BLK 163 BUKIT MERAH CENTRAL,02-20,6.2,COOKED FOOD,3088,Jan-2018
BLK 163 BUKIT MERAH CENTRAL,02-20,6.2,INDIAN CUISINE,400,Sep-2020
BLK 163 BUKIT MERAH CENTRAL,02-20,6.2,COOKED FOOD,2100,Aug-2022
BLK 163 BUKIT MERAH CENTRAL,02-20,6.2,INDIAN CUISINE,371,Apr-2023
BLK 163 BUKIT MERAH CENTRAL,02-22,6.15,INDIAN CUISINE,702,Mar-2018
BLK 163 BUKIT MERAH CENTRAL,02-23,6.2,HALAL COOKED FOOD,320,May-2018
BLK 163 BUKIT MERAH CENTRAL,02-23,6.2,INDIAN CUISINE,323,Dec-2019
BLK 163 BUKIT MERAH CENTRAL,02-23,6.2,HALAL COOKED FOOD,68,Oct-2022
BLK 163 BUKIT MERAH CENTRAL,02-09,6.2,COOKED FOOD,3309,Feb-2018
BLK 163 BUKIT MERAH CENTRAL,02-26,6.2,HALAL COOKED FOOD,605,Apr-2018
BLK 163 BUKIT MERAH CENTRAL,02-26,6.2,HALAL COOKED FOOD,659,Jul-2020
BLK 163 BUKIT MERAH CENTRAL,02-26,6.2,HALAL COOKED FOOD,28,Apr-2022
BLK 163 BUKIT MERAH CENTRAL,02-27,6.2,HALAL COOKED FOOD,1300,Jan-2018
BLK 163 BUKIT MERAH CENTRAL,02-47,6.2,COOKED FOOD,1400,Nov-2021
BLK 163 BUKIT MERAH CENTRAL,02-48,6.15,COOKED FOOD,2500,Feb-2022
BLK 163 BUKIT MERAH CENTRAL,02-22,6.15,DRINKS,1688,Jul-2021
BLK 163 BUKIT MERAH CENTRAL,02-23,6.2,INDIAN CUISINE,190,Jan-2022
BLK 17 UPPER BOON KENG ROAD,01-31,6.25,COOKED FOOD,1688,Mar-2023
BLK 17 UPPER BOON KENG ROAD,01-40,6.25,COOKED FOOD,2426,Mar-2018
BLK 17 UPPER BOON KENG ROAD,01-40,6.25,COOKED FOOD,1500,Sep-2018
BLK 17 UPPER BOON KENG ROAD,01-41,6.25,COOKED FOOD,2629,May-2022
BLK 17 UPPER BOON KENG ROAD,01-41,6.25,COOKED FOOD,2889,Mar-2023
BLK 17 UPPER BOON KENG ROAD,01-47,6.25,COOKED FOOD,2208,Mar-2020
BLK 17 UPPER BOON KENG ROAD,01-54,6.25,DRINKS,2019,Jul-2020
BLK 17 UPPER BOON KENG ROAD,01-55,6.25,COOKED FOOD,3218,Oct-2022
BLK 17 UPPER BOON KENG ROAD,01-55,6.25,COOKED FOOD,2689,May-2024
BLK 17 UPPER BOON KENG ROAD,01-57,6.25,COOKED FOOD,1599,Mar-2020
BLK 17 UPPER BOON KENG ROAD,01-57,6.25,COOKED FOOD,1800,Jul-2023
BLK 17 UPPER BOON KENG ROAD,01-60,6.25,COOKED FOOD,1380,Mar-2018
BLK 17 UPPER BOON KENG ROAD,01-69,6.25,COOKED FOOD,2771,Oct-2020
BLK 17 UPPER BOON KENG ROAD,01-70,6.25,COOKED FOOD,3999,May-2022
BLK 17 UPPER BOON KENG ROAD,01-73,6.25,COOKED FOOD,1858,Jul-2018
BLK 17 UPPER BOON KENG ROAD,01-73,6.25,DRINKS,2200,Mar-2019
BLK 17 UPPER BOON KENG ROAD,01-73,6.25,COOKED FOOD,1501,Jul-2019
BLK 17 UPPER BOON KENG ROAD,01-73,6.25,COOKED FOOD,1673,Nov-2019
BLK 17 UPPER BOON KENG ROAD,01-73,6.25,COOKED FOOD,3151,Nov-2020
BLK 17 UPPER BOON KENG ROAD,01-73,6.25,COOKED FOOD,1888,May-2022
BLK 17 UPPER BOON KENG ROAD,01-75,6.25,INDIAN CUISINE,50,Dec-2019
BLK 17 UPPER BOON KENG ROAD,01-76,6.25,COOKED FOOD,1850,Apr-2018
BLK 17 UPPER BOON KENG ROAD,01-76,6.25,COOKED FOOD,1688,Aug-2019
BLK 17 UPPER BOON KENG ROAD,01-79,6.25,COOKED FOOD,1600,May-2018
BLK 17 UPPER BOON KENG ROAD,01-79,6.25,COOKED FOOD,1610,Aug-2019
BLK 17 UPPER BOON KENG ROAD,01-79,6.25,COOKED FOOD,2260,Jul-2023
BLK 17 UPPER BOON KENG ROAD,01-81,6.25,COOKED FOOD,2200,Mar-2018
BLK 17 UPPER BOON KENG ROAD,01-81,6.25,COOKED FOOD,1900,Jun-2018
BLK 17 UPPER BOON KENG ROAD,01-81,6.25,COOKED FOOD,1984,Sep-2018
BLK 17 UPPER BOON KENG ROAD,01-81,6.25,COOKED FOOD,2281,Sep-2019
BLK 17 UPPER BOON KENG ROAD,01-55,6.25,COOKED FOOD,2448,Aug-2023
BLK 17 UPPER BOON KENG ROAD,01-79,6.25,DRINKS,2504,Nov-2022
BLK 17 UPPER BOON KENG ROAD,01-73,6.25,DRINKS,2500,Dec-2018
BLK 2 CHANGI VILLAGE ROAD,01-30,7,INDIAN CUISINE,3555,Mar-2020
BLK 2 CHANGI VILLAGE ROAD,01-30,7,INDIAN CUISINE,3803,Nov-2020
BLK 2 CHANGI VILLAGE ROAD,01-30,7,COOKED FOOD,4588,Dec-2022
BLK 2 CHANGI VILLAGE ROAD,01-24,7,HALAL COOKED FOOD,4505,Nov-2020
BLK 2 CHANGI VILLAGE ROAD,01-24,7,INDIAN CUISINE,3050.99,Dec-2022
BLK 20 GHIM MOH ROAD,01-46,6.5,INDIAN CUISINE,300,Nov-2022
BLK 20 MARSILING LANE,01-06,9.26,INDIAN CUISINE,3250,Dec-2019
BLK 20 MARSILING LANE,01-06,9.26,INDIAN CUISINE,3500,May-2024
BLK 20 MARSILING LANE,01-06,9.26,INDIAN CUISINE,4100,Sep-2024
BLK 210 TOA PAYOH LORONG 8,01-79,7.14,INDIAN CUISINE,1390,Jul-2020
BLK 210 TOA PAYOH LORONG 8,01-79,7.14,INDIAN CUISINE,2016,Jan-2021
BLK 210 TOA PAYOH LORONG 8,01-12,7.14,COOKED FOOD,6508,Oct-2024
BLK 216 BEDOK NORTH STREET 1,01-35,6.23,COOKED FOOD,6299,Feb-2024
BLK 216 BEDOK NORTH STREET 1,01-35,6.23,INDIAN CUISINE,1801,Jul-2022
BLK 216 BEDOK NORTH STREET 1,01-13,6.23,HALAL COOKED FOOD,3200,Aug-2021
BLK 216 BEDOK NORTH STREET 1,01-13,6.23,HALAL COOKED FOOD,2222,Jun-2022
BLK 216 BEDOK NORTH STREET 1,01-16,6.23,HALAL COOKED FOOD,2222,Jun-2022
BLK 216 BEDOK NORTH STREET 1,01-18,6.23,HALAL COOKED FOOD,2288,Feb-2024
BLK 216 BEDOK NORTH STREET 1,01-12,6.23,HALAL COOKED FOOD,1653,Feb-2018
BLK 216 BEDOK NORTH STREET 1,01-35,6.23,INDIAN CUISINE,1503,Jun-2023
BLK 216 BEDOK NORTH STREET 1,01-16,6.23,INDIAN CUISINE,3113,Jun-2021
BLK 216 BEDOK NORTH STREET 1,01-18,6.23,HALAL COOKED FOOD,2350,Feb-2022
BLK 22 TOA PAYOH LORONG 7,01-41,8.58,INDIAN CUISINE,1500,Aug-2021
BLK 22 TOA PAYOH LORONG 7,01-41,8.58,HALAL COOKED FOOD,1200,Sep-2023
BLK 22 TOA PAYOH LORONG 7,01-45,8.71,HALAL COOKED FOOD,1500,Mar-2018
BLK 22 TOA PAYOH LORONG 7,01-45,8.71,HALAL COOKED FOOD,650,Jan-2019
BLK 22 TOA PAYOH LORONG 7,01-45,8.71,HALAL COOKED FOOD,1300,May-2019
BLK 22 TOA PAYOH LORONG 7,01-45,8.71,HALAL COOKED FOOD,111,Dec-2019
BLK 22 TOA PAYOH LORONG 7,01-56,8.69,COOKED FOOD,4524,Dec-2021
BLK 22 TOA PAYOH LORONG 7,01-56,8.69,INDIAN CUISINE,1900,Jun-2023
BLK 22 TOA PAYOH LORONG 7,01-58,8.84,INDIAN CUISINE,88,Dec-2019
BLK 22 TOA PAYOH LORONG 7,01-58,8.84,HALAL COOKED FOOD,1500,Feb-2024
BLK 22 TOA PAYOH LORONG 7,01-58,8.84,HALAL COOKED FOOD,3100,Nov-2024
BLK 22A HAVELOCK ROAD,01-01,7.44,INDIAN CUISINE,28.88,Jul-2023
BLK 22B HAVELOCK ROAD,01-21,7.44,COOKED FOOD,2188,Feb-2024
BLK 22B HAVELOCK ROAD,01-22,7.44,INDIAN CUISINE,689,Apr-2024
BLK 22B HAVELOCK ROAD,01-21,7.44,COOKED FOOD,1520,May-2023
BLK 22B HAVELOCK ROAD,01-26,7.44,HALAL COOKED FOOD,1201,Jan-2021
BLK 22B HAVELOCK ROAD,01-26,7.44,COOKED FOOD,512,May-2023
BLK 254 JURONG EAST STREET 24,01-42,7.93,INDIAN CUISINE,1500,Sep-2022
BLK 254 JURONG EAST STREET 24,01-42,7.93,INDIAN CUISINE,988,Apr-2023
BLK 254 JURONG EAST STREET 24,01-25,7.93,HALAL COOKED FOOD,1300,Feb-2018
BLK 254 JURONG EAST STREET 24,01-25,7.93,HALAL COOKED FOOD,2100,Jun-2018
BLK 254 JURONG EAST STREET 24,01-42,7.93,INDIAN CUISINE,3501,Sep-2020
BLK 254 JURONG EAST STREET 24,01-25,7.93,INDIAN CUISINE,1825,Feb-2019
BLK 270 QUEEN STREET,01-87,6.25,INDIAN CUISINE,1659,Jun-2021
BLK 29 BENDEMEER ROAD,01-38,5.59,INDIAN CUISINE,1800,Oct-2024
BLK 29 BENDEMEER ROAD,01-47,5.59,HALAL COOKED FOOD,2588,Mar-2020
BLK 29 BENDEMEER ROAD,01-54,5.59,INDIAN CUISINE,1800,Dec-2019
BLK 29 BENDEMEER ROAD,01-54,5.59,INDIAN CUISINE,2144,Sep-2020
BLK 29 BENDEMEER ROAD,01-54,5.59,INDIAN CUISINE,601.5,Nov-2022
BLK 29 BENDEMEER ROAD,01-13,5.59,INDIAN CUISINE,3010,Aug-2021
BLK 29 BENDEMEER ROAD,01-20,5.59,HALAL COOKED FOOD,4688,Jun-2024
BLK 29 BENDEMEER ROAD,01-23,5.59,HALAL COOKED FOOD,1680,May-2018
BLK 29 BENDEMEER ROAD,01-23,5.59,INDIAN CUISINE,1506,Dec-2020
BLK 29 BENDEMEER ROAD,01-28,5.59,HALAL COOKED FOOD,3801,May-2022
BLK 29 BENDEMEER ROAD,01-29,5.59,DRINKS,4009,Sep-2018
BLK 29 BENDEMEER ROAD,01-29,5.59,COOKED FOOD,3509,Jan-2019
BLK 29 BENDEMEER ROAD,01-29,5.59,DRINKS,4227,Mar-2020
BLK 29 BENDEMEER ROAD,01-73,5.59,COOKED FOOD,5000,Jun-2023
BLK 29 BENDEMEER ROAD,01-13,5.59,HALAL COOKED FOOD,3200,Feb-2022
BLK 29 BENDEMEER ROAD,01-28,5.59,INDIAN CUISINE,480,Jun-2023
BLK 29 BENDEMEER ROAD,01-23,5.59,HALAL COOKED FOOD,2010,Dec-2018
BLK 3 CHANGI VILLAGE ROAD,01-72,6.96,HALAL COOKED FOOD,3117,Oct-2021
BLK 3 CHANGI VILLAGE ROAD,01-72,6.96,INDIAN CUISINE,1864,Mar-2022
BLK 3 CHANGI VILLAGE ROAD,01-79,6.96,HALAL COOKED FOOD,2000,Mar-2023
BLK 3 CHANGI VILLAGE ROAD,01-83,6.96,INDIAN CUISINE,1700,Feb-2018
BLK 3 CHANGI VILLAGE ROAD,01-83,6.96,INDIAN CUISINE,1702,Oct-2018
BLK 3 CHANGI VILLAGE ROAD,01-84,6.96,INDIAN CUISINE,552,Feb-2024
BLK 3 CHANGI VILLAGE ROAD,01-85,6.96,HALAL COOKED FOOD,786,Apr-2024
BLK 3 CHANGI VILLAGE ROAD,01-86,6.96,INDIAN CUISINE,1151,Jan-2020
BLK 3 CHANGI VILLAGE ROAD,01-86,6.96,INDIAN CUISINE,712,May-2022
BLK 3 CHANGI VILLAGE ROAD,01-86,6.96,HALAL COOKED FOOD,2252,Sep-2023
BLK 3 CHANGI VILLAGE ROAD,01-78,6.96,INDIAN CUISINE,2151,May-2023
BLK 3 CHANGI VILLAGE ROAD,01-79,6.96,HALAL COOKED FOOD,1750,Jan-2022
BLK 3 CHANGI VILLAGE ROAD,01-85,6.96,HALAL COOKED FOOD,2000,Jan-2023
BLK 3 CHANGI VILLAGE ROAD,01-85,6.96,COOKED FOOD,593,Dec-2023
BLK 320 SHUNFU ROAD,02-17,15,COOKED FOOD,4688,Jul-2023
BLK 320 SHUNFU ROAD,02-23,13,INDIAN CUISINE,450,Jan-2018
BLK 320 SHUNFU ROAD,02-23,13,HALAL COOKED FOOD,150,Oct-2019
BLK 320 SHUNFU ROAD,02-23,13,HALAL COOKED FOOD,920,Feb-2023
BLK 320 SHUNFU ROAD,02-23,13,INDIAN CUISINE,711,Apr-2024
BLK 320 SHUNFU ROAD,02-02,13,COOKED FOOD,3080,Jul-2020
BLK 320 SHUNFU ROAD,02-02,13,COOKED FOOD,5009,Aug-2021
BLK 320 SHUNFU ROAD,02-02,13,COOKED FOOD,3500,Mar-2023
BLK 320 SHUNFU ROAD,02-02,13,INDIAN CUISINE,759,Aug-2024
BLK 320 SHUNFU ROAD,02-06,13,INDIAN CUISINE,366,Mar-2020
BLK 320 SHUNFU ROAD,02-06,13,COOKED FOOD,3889,Mar-2023
BLK 320 SHUNFU ROAD,02-08,13,DRINKS,4199,Mar-2023
BLK 320 SHUNFU ROAD,02-28,12,HALAL COOKED FOOD,421,Feb-2018
BLK 320 SHUNFU ROAD,02-28,12,HALAL COOKED FOOD,626,Nov-2018
BLK 320 SHUNFU ROAD,02-29,13,HALAL COOKED FOOD,328,Jan-2019
BLK 320 SHUNFU ROAD,02-29,13,HALAL COOKED FOOD,1010,Aug-2020
BLK 320 SHUNFU ROAD,02-29,13,INDIAN CUISINE,1000,Mar-2023
BLK 320 SHUNFU ROAD,02-29,13,INDIAN CUISINE,713,Jul-2023
BLK 320 SHUNFU ROAD,02-29,13,HALAL COOKED FOOD,1250,Nov-2024
BLK 320 SHUNFU ROAD,02-28,12,HALAL COOKED FOOD,1206,Jul-2021
BLK 335 SMITH STREET,02-60,8.48,COOKED FOOD,1188,Dec-2023
BLK 341 ANG MO KIO AVENUE 1,01-19,8.91,INDIAN CUISINE,2300,May-2024
BLK 36 TELOK BLANGAH RISE,01-31,8.46,INDIAN CUISINE,605,Feb-2022
BLK 36 TELOK BLANGAH RISE,01-31,8.46,INDIAN CUISINE,361.5,Dec-2022
BLK 36 TELOK BLANGAH RISE,01-35,8.46,COOKED FOOD,738,Mar-2018
BLK 36 TELOK BLANGAH RISE,01-36,8.46,COOKED FOOD,428,Jun-2019
BLK 36 TELOK BLANGAH RISE,01-37,8.46,INDIAN CUISINE,212,May-2023
BLK 36 TELOK BLANGAH RISE,01-41,8.46,HALAL COOKED FOOD,1050,Aug-2024
BLK 36 TELOK BLANGAH RISE,01-45,8.46,INDIAN CUISINE,50,May-2019
BLK 36 TELOK BLANGAH RISE,01-45,8.46,INDIAN CUISINE,20,Jan-2020
BLK 36 TELOK BLANGAH RISE,01-45,8.46,COOKED FOOD,825,Nov-2022
BLK 36 TELOK BLANGAH RISE,01-53,8.46,HALAL COOKED FOOD,150,Feb-2018
BLK 36 TELOK BLANGAH RISE,01-53,8.46,COOKED FOOD,1500,Sep-2018
BLK 36 TELOK BLANGAH RISE,01-53,8.46,COOKED FOOD,810,Jan-2019
BLK 36 TELOK BLANGAH RISE,01-53,8.46,COOKED FOOD,200,May-2019
BLK 36 TELOK BLANGAH RISE,01-52,8.46,COOKED FOOD,640,Aug-2023
BLK 37A TEBAN GARDENS ROAD,01-18,8.99,INDIAN CUISINE,1666,Mar-2020
BLK 41A CAMBRIDGE ROAD,01-45,8.5,INDIAN CUISINE,515,Mar-2021
BLK 41A CAMBRIDGE ROAD,01-45,8.5,INDIAN CUISINE,800,Aug-2021
BLK 41A CAMBRIDGE ROAD,01-45,8.5,INDIAN CUISINE,1080,Jun-2022
BLK 41A CAMBRIDGE ROAD,01-45,8.5,INDIAN CUISINE,601,Mar-2024
BLK 41A CAMBRIDGE ROAD,01-22,8.5,INDIAN CUISINE,301,Aug-2022
BLK 41A CAMBRIDGE ROAD,01-09,8.5,HALAL COOKED FOOD,1965,Mar-2024
BLK 44 HOLLAND DRIVE,02-30,11.3,COOKED FOOD,4600,Jul-2023
BLK 44 HOLLAND DRIVE,02-30,11.3,DRINKS,7012,Aug-2024
BLK 44 HOLLAND DRIVE,02-33,10.7,COOKED FOOD,5200,Nov-2023
BLK 44 HOLLAND DRIVE,02-43,9,COOKED FOOD,3820,Mar-2018
BLK 44 HOLLAND DRIVE,02-44,9,INDIAN CUISINE,28,Feb-2024
BLK 44 HOLLAND DRIVE,02-45,9,COOKED FOOD,4100,Sep-2018
BLK 44 HOLLAND DRIVE,02-45,9,INDIAN CUISINE,111,Oct-2019
BLK 44 HOLLAND DRIVE,02-45,9,INDIAN CUISINE,1300,Aug-2020
BLK 44 HOLLAND DRIVE,02-45,9,COOKED FOOD,5000,Aug-2021
BLK 44 HOLLAND DRIVE,02-45,9,INDIAN CUISINE,810,May-2022
BLK 44 HOLLAND DRIVE,02-13,9,HALAL COOKED FOOD,1087,Jan-2024
BLK 44 HOLLAND DRIVE,02-03,9.75,DRINKS,4108,Jun-2018
BLK 44 HOLLAND DRIVE,02-03,9.75,COOKED FOOD,4218,Aug-2019
BLK 44 HOLLAND DRIVE,02-03,9.75,INDIAN CUISINE,555,Mar-2024
BLK 44 HOLLAND DRIVE,02-11,9,HALAL COOKED FOOD,823,Sep-2019
BLK 44 HOLLAND DRIVE,02-11,9,HALAL COOKED FOOD,800,Oct-2022
BLK 44 HOLLAND DRIVE,02-27,12.08,COOKED FOOD,4318,Aug-2020
BLK 44 HOLLAND DRIVE,02-44,9,INDIAN CUISINE,899,May-2023
BLK 44 HOLLAND DRIVE,02-45,9,COOKED FOOD,4180,May-2023
BLK 44 HOLLAND DRIVE,02-03,9.75,INDIAN CUISINE,825,May-2021
BLK 453A ANG MO KIO AVENUE 10,01-01,5.6,HALAL COOKED FOOD,2008,Feb-2018
BLK 453A ANG MO KIO AVENUE 10,01-01,5.6,HALAL COOKED FOOD,1701,Jan-2019
BLK 49 SIMS PLACE,01-58,8.1,INDIAN CUISINE,210,Sep-2019
BLK 49 SIMS PLACE,01-58,8.1,INDIAN CUISINE,1564,Nov-2021
BLK 49 SIMS PLACE,01-58,8.1,INDIAN CUISINE,890,Nov-2022
BLK 49 SIMS PLACE,01-58,8.1,INDIAN CUISINE,500,Nov-2023
BLK 49 SIMS PLACE,01-15,8.1,INDIAN CUISINE,1555,May-2024
BLK 4A EUNOS CRESCENT,01-37,7.83,COOKED FOOD,3518,Sep-2019
BLK 4A EUNOS CRESCENT,01-22,7.83,INDIAN CUISINE,2651,Oct-2019
BLK 4A EUNOS CRESCENT,01-08,7.84,HALAL COOKED FOOD,3555,Jan-2019
BLK 4A EUNOS CRESCENT,01-26,7.83,HALAL COOKED FOOD,4008,Jul-2020
BLK 4A EUNOS CRESCENT,01-08,7.84,HALAL COOKED FOOD,5555,Jun-2023
BLK 4A JALAN BATU,01-13,10.26,INDIAN CUISINE,159,Oct-2018
BLK 4A JALAN BATU,01-13,10.26,COOKED FOOD,618,Feb-2020
BLK 4A JALAN BATU,01-14,10.26,HALAL COOKED FOOD,300,Mar-2019
BLK 4A JALAN BATU,01-14,10.26,INDIAN CUISINE,211,Feb-2020
BLK 4A JALAN BATU,01-16,10.26,COOKED FOOD,2000,May-2018
BLK 4A JALAN BATU,01-16,10.26,COOKED FOOD,1288,Jan-2019
BLK 4A JALAN BATU,01-16,10.26,COOKED FOOD,1850,Feb-2021
BLK 4A JALAN BATU,01-22,10.26,COOKED FOOD,1000,Jul-2018
BLK 4A JALAN BATU,01-22,10.26,INDIAN CUISINE,351,Nov-2019
BLK 4A JALAN BATU,01-01,10.26,COOKED FOOD,821,Jul-2018
BLK 4A JALAN BATU,01-25,10.26,COOKED FOOD,1503,Mar-2018
BLK 4A JALAN BATU,01-25,10.26,COOKED FOOD,1201,Jun-2018
BLK 4A JALAN BATU,01-02,10.26,COOKED FOOD,2600,Sep-2024
BLK 4A JALAN BATU,01-05,10.26,HALAL COOKED FOOD,70,Apr-2018
