,BusStopCode,RoadName,Description,Latitude,Longitude,geometry,area
3941,68049,Jln Kayu,Opp Jln Tari Lilin,1.39851660309414,103.8729604565282,POINT (103.8729604565282 1.39851660309414),FERNVALE
3942,68051,Jln Kayu,Bef TPE,1.39955011852479,103.87232065200857,POINT (103.8723206520086 1.39955011852479),FERNVALE
3943,68059,Jln Kayu,Aft TPE,1.39978638898633,103.87243527803194,POINT (103.8724352780319 1.39978638898633),FERNVALE
3944,68061,Piccadilly,Sing-China Bldg,1.40719212135322,103.87206315994297,POINT (103.872063159943 1.40719212135322),SELETAR
3945,68069,Piccadilly,Opp Sing-China Bldg,1.40757217631739,103.87228032413654,POINT (103.8722803241365 1.40757217631739),SELETAR
3946,68081,Seletar Aerospace Dr,Bef Seletar A'Space Rise,1.40559323576727,103.86681241814273,POINT (103.8668124181427 1.40559323576727),SELETAR AEROSPACE PARK
3947,68089,Seletar Aerospace Dr,Aft Seletar A'Space Rise,1.40570196065228,103.86666745163518,POINT (103.8666674516352 1.40570196065228),SELETAR AEROSPACE PARK
3948,68091,Seletar Aerospace Dr,Aft Baker St,1.40885699822728,103.8711692911676,POINT (103.8711692911676 1.40885699822728),SELETAR
3949,68099,Seletar Aerospace Dr,Bef Baker St,1.40885009957996,103.87095311541565,POINT (103.8709531154156 1.40885009957996),SELETAR
3950,68101,Seletar Aerospace Dr,Rolls Royce Pte Ltd,1.40378584520974,103.86344710129676,POINT (103.8634471012968 1.40378584520974),SELETAR AEROSPACE PARK
3951,68109,Seletar Aerospace Dr,Opp Rolls Royce Pte Ltd,1.40400332581506,103.86349233396736,POINT (103.8634923339674 1.40400332581506),SELETAR AEROSPACE PARK
3952,68111,Jln Kayu,Bef Seletar Camp G,1.40222194447692,103.87138805557646,POINT (103.8713880555765 1.40222194447692),SELETAR
3953,68119,Jln Kayu,Aft Seletar Camp G,1.40231306085319,103.87194871751426,POINT (103.8719487175143 1.40231306085319),SELETAR
3954,68121,Seletar Aerospace Dr,Bef West Camp Rd,1.40580853768965,103.85999518683653,POINT (103.8599951868365 1.40580853768965),SELETAR AEROSPACE PARK
3955,68129,Seletar Aerospace Dr,Aft West Camp Rd,1.40606522969086,103.86016462232045,POINT (103.8601646223205 1.40606522969086),SELETAR AEROSPACE PARK
3956,68131,West Camp Rd,Opp Youth Flying Club,1.41460695862945,103.86188939696589,POINT (103.8618893969659 1.41460695862945),SELETAR AEROSPACE PARK
3957,68139,West Camp Rd,Youth Flying Club,1.4144389729383,103.86207999648197,POINT (103.862079996482 1.4144389729383),SELETAR AEROSPACE PARK
3958,68141,West Camp Rd,Opp Seletar Airport,1.42043301652737,103.86347697141191,POINT (103.8634769714119 1.42043301652737),SELETAR AEROSPACE PARK
3959,68149,West Camp Rd,ST Aerospace,1.41891604556531,103.86279700000911,POINT (103.8627970000091 1.41891604556531),SELETAR AEROSPACE PARK
3960,68151,West Camp Rd,Bef Shell Aviation,1.42333311184046,103.86619112165944,POINT (103.8661911216594 1.42333311184046),SELETAR AEROSPACE PARK
3961,68159,West Camp Rd,Aft Shell Aviation,1.42306890210566,103.86626907370781,POINT (103.8662690737078 1.42306890210566),SELETAR AEROSPACE PARK
